,HBW,HTT,MMIPS,MET,MBW,MTT,RMIPS,RET,RBW,RTT,BBW,BTT,TT
2035,4,1,4,4,4,1,1,1,2,1,4,1,2
2036,4,1,4,4,1,3,3,4,1,4,1,4,4
2037,4,1,4,4,1,3,1,1,1,3,1,4,3
2038,4,1,4,4,1,3,3,4,1,3,1,4,3
2039,4,1,4,4,1,3,1,1,1,3,1,4,3
2040,4,1,4,4,1,3,4,4,1,4,1,4,4
2041,4,1,4,4,1,3,1,1,4,1,1,4,2
2042,4,1,4,4,1,3,3,4,1,4,1,4,4
2043,4,1,4,4,1,3,1,1,4,1,1,4,2
2044,1,4,4,4,1,3,2,4,1,4,1,1,4
2045,1,4,4,4,1,3,1,1,2,1,4,1,2
2046,1,4,4,4,1,3,3,4,1,4,1,4,4
2047,1,4,4,4,1,3,1,1,1,3,1,4,3
2048,1,4,4,4,1,1,3,4,1,3,1,4,4
2049,1,4,4,4,4,1,1,1,1,3,1,4,3
2050,1,4,4,4,1,2,4,4,1,4,1,4,4
2051,1,4,4,4,1,2,1,1,4,1,1,4,3
2052,1,4,4,4,1,2,3,4,1,4,1,4,4
2053,1,4,4,4,1,2,1,1,4,1,1,4,3
2054,1,4,4,4,1,3,2,4,1,4,1,1,4
2055,1,4,4,4,1,3,1,1,2,1,4,1,2
2056,1,4,4,4,1,3,3,4,1,4,1,4,4
2057,1,4,4,4,1,3,1,1,1,3,1,4,3
2058,1,4,4,4,1,3,3,4,1,3,1,4,4
2059,1,4,4,4,1,3,1,1,1,3,1,4,3
2060,1,4,4,4,1,3,4,4,1,4,1,4,4
2061,1,4,4,4,1,3,1,1,4,1,1,4,3
2062,1,4,4,4,2,1,3,4,1,4,1,4,4
2063,1,4,4,4,2,1,1,1,4,1,1,4,3
2064,1,4,4,4,1,3,2,4,1,4,1,1,4
2065,1,4,4,4,1,3,1,1,2,1,4,1,2
2066,1,4,4,4,1,3,3,4,1,4,1,4,4
2067,1,4,4,4,1,3,1,1,1,3,1,4,3
2068,1,4,4,4,1,2,3,4,1,3,1,4,4
2069,1,4,4,4,1,2,1,1,1,3,1,4,3
2070,1,4,4,4,2,1,1,1,4,1,1,4,3
2071,1,4,4,4,1,3,3,4,1,4,1,4,4
2072,1,4,4,4,1,3,1,1,4,1,1,4,3
2073,1,4,4,4,1,3,2,4,1,4,1,1,4
2074,1,4,4,4,1,3,1,1,2,1,4,1,2
2075,1,4,4,4,1,3,3,4,1,4,1,4,4
2076,1,4,4,4,1,3,1,1,1,3,1,4,3
2077,1,4,4,4,1,1,3,4,1,3,1,4,4
2078,1,4,4,4,4,1,1,1,1,3,1,4,3
2079,1,4,4,4,1,2,4,4,1,4,1,4,4
2080,1,4,4,4,1,2,1,1,4,1,1,4,3
2081,1,4,4,4,1,3,3,4,1,4,1,4,4
2082,1,4,4,4,1,3,1,1,4,1,1,4,3
2083,4,1,4,4,4,1,2,4,1,4,1,1,3
2084,4,1,4,4,3,1,1,1,2,1,4,1,2
2085,4,1,4,4,1,3,3,4,1,4,1,4,4
2086,4,1,4,4,1,3,1,1,1,3,1,4,3
2087,4,1,4,4,1,3,3,4,1,3,1,4,4
2088,4,1,4,4,1,3,1,1,1,3,1,4,3
2089,4,1,4,4,1,3,4,4,1,4,1,4,4
2090,4,1,4,4,1,3,1,1,4,1,1,4,2
2091,4,1,4,4,1,3,3,4,1,4,1,4,4
2092,4,1,4,4,1,3,1,1,4,1,1,4,2
2093,1,4,4,4,1,3,2,4,1,4,1,1,4
2094,1,4,4,4,1,3,1,1,2,1,4,1,2
2095,1,4,4,4,1,3,3,4,1,4,1,4,4
2096,1,4,4,4,1,3,1,1,1,3,1,4,3
2097,1,4,4,4,1,3,3,4,1,3,1,4,4
2098,1,4,4,4,1,3,1,1,1,3,1,4,3
2099,1,4,4,4,1,3,4,4,1,4,1,4,4
2100,1,4,4,4,1,3,1,1,4,1,1,4,3
2101,1,4,4,4,1,1,3,4,1,4,1,4,4
2102,1,4,4,4,1,1,1,1,4,1,1,4,3
2103,1,4,4,4,1,3,2,4,1,4,1,1,4
2104,1,4,4,4,1,3,1,1,2,1,4,1,2
2105,1,4,4,4,1,3,3,4,1,4,1,4,4
2106,1,4,4,4,1,3,1,1,1,3,1,4,3
2107,1,4,4,4,1,2,3,4,1,3,1,4,4
2108,1,4,4,4,1,2,1,1,1,3,1,4,3
2109,1,4,4,4,2,1,4,4,1,4,1,4,4
2110,1,4,4,4,3,1,1,1,4,1,1,4,3
2111,1,4,4,4,1,3,3,4,1,4,1,4,4
2112,1,4,4,4,1,3,1,1,4,1,1,4,3
2113,4,1,4,4,4,1,2,4,1,4,1,1,3
2114,4,1,4,4,3,1,1,1,2,1,4,1,2
2115,4,1,4,4,1,3,3,4,1,4,1,4,4
2116,4,1,4,4,1,3,1,1,1,3,1,4,3
2117,4,1,4,4,1,3,3,4,1,3,1,4,4
2118,4,1,4,4,1,3,1,1,1,3,1,4,3
2119,4,1,4,4,1,3,4,4,1,4,1,4,4
2120,4,1,4,4,1,3,1,1,4,1,1,4,2
2121,4,1,4,4,1,3,3,4,1,4,1,4,4
2122,4,1,4,4,1,3,1,1,4,1,1,4,2
2123,4,1,4,4,4,1,2,4,1,4,1,1,3
2124,4,1,4,4,3,1,1,1,2,1,4,1,2
2125,4,1,4,4,1,4,3,4,1,4,1,4,4
2126,4,1,4,4,1,4,1,1,1,3,1,4,3
2127,4,1,4,4,1,4,3,4,1,3,1,4,4
2128,4,1,4,4,1,4,1,1,1,3,1,4,3
2129,4,1,4,4,1,4,4,4,1,4,1,4,4
2130,4,1,4,4,1,4,1,1,4,1,1,4,2
2131,4,1,4,4,1,4,3,4,1,4,1,4,4
2132,4,1,4,4,1,4,1,1,4,1,1,4,2
2133,4,1,4,4,4,1,2,4,1,4,1,1,3
2134,4,1,4,4,4,1,1,1,2,1,4,1,2
2135,4,1,4,4,1,4,3,4,1,4,1,4,4
2136,4,1,4,4,1,4,1,1,1,3,1,4,3
2137,4,1,4,4,1,4,3,4,1,3,1,4,4
2138,4,1,4,4,1,4,1,1,1,3,1,4,3
2139,4,1,4,4,1,4,4,4,1,4,1,4,4
2140,4,1,4,4,1,4,1,1,4,1,1,4,2
2141,4,1,4,4,1,4,3,4,1,4,1,4,4
2142,4,1,4,4,1,4,1,1,4,1,1,4,2
2143,1,4,4,4,1,4,2,4,1,4,1,1,4
2144,1,4,4,4,1,4,1,1,2,1,4,1,2
2145,1,4,4,4,1,3,3,4,1,4,1,4,4
2146,1,4,4,4,1,3,1,1,1,3,1,4,3
2147,1,4,4,4,1,3,3,4,1,3,1,4,4
2148,1,4,4,4,1,3,1,1,1,3,1,4,3
2149,1,4,4,4,1,3,4,4,1,4,1,4,4
2150,1,4,4,4,1,3,1,1,4,1,1,4,3
2151,1,4,4,4,2,1,3,4,1,4,1,4,4
2152,1,4,4,4,2,1,1,1,4,1,1,4,3
2153,1,4,4,4,1,4,2,4,1,4,1,1,4
2154,1,4,4,4,1,4,1,1,2,1,4,1,2
2155,1,4,4,4,1,3,3,4,1,4,1,4,4
2156,1,4,4,4,1,3,1,1,1,3,1,4,3
2157,1,4,4,4,1,3,3,4,1,3,1,4,4
2158,1,4,4,4,1,3,1,1,1,3,1,4,3
2159,1,4,4,4,1,3,4,4,1,4,1,4,4
2160,1,4,4,4,1,3,1,1,4,1,1,4,3
2161,1,4,4,4,2,1,1,1,4,1,1,4,3
2162,1,4,4,4,1,4,2,4,1,4,1,1,4
2163,1,4,4,4,1,4,1,1,2,1,4,1,2
2164,1,4,4,4,1,2,3,4,1,4,1,4,4
2165,1,4,4,4,3,1,1,1,1,3,1,4,3
2166,1,4,4,4,1,4,3,4,1,3,1,4,4
2167,1,4,4,4,1,4,1,1,1,3,1,4,3
2168,1,4,4,4,1,4,4,4,1,4,1,4,4
2169,1,4,4,4,1,4,1,1,4,1,1,4,3
2170,1,4,4,4,1,4,3,4,1,4,1,4,4
2171,1,4,4,4,1,4,1,1,4,1,1,4,3
2172,1,4,4,4,1,4,2,4,1,4,1,1,4
2173,1,4,4,4,1,4,1,1,2,1,4,1,2
2174,1,4,4,4,1,4,3,4,1,4,1,4,4
2175,1,4,4,4,1,4,1,1,1,3,1,4,3
2176,1,4,4,4,1,3,3,4,1,3,1,4,4
2177,1,4,4,4,1,3,1,1,1,3,1,4,3
2178,1,4,4,4,1,3,4,4,1,4,1,4,4
2179,1,4,4,4,1,3,1,1,4,1,1,4,3
2180,1,4,4,4,1,2,3,4,1,4,1,4,4
2181,1,4,4,4,1,2,1,1,4,1,1,4,3
2182,4,1,4,4,4,1,2,4,1,4,1,1,3
2183,4,1,4,4,3,1,1,1,2,1,4,1,2
2184,4,1,4,4,1,4,3,4,1,4,1,4,4
2185,4,1,4,4,1,4,1,1,1,3,1,4,3
2186,4,1,4,4,1,4,3,4,1,3,1,4,4
2187,4,1,4,4,1,4,1,1,1,3,1,4,3
2188,4,1,4,4,1,4,4,4,1,4,1,4,4
2189,4,1,4,4,1,4,1,1,4,1,1,4,2
2190,4,1,4,4,1,4,3,4,1,4,1,4,4
2191,4,1,4,4,1,4,1,1,4,1,1,4,2
2192,4,1,4,4,4,1,2,4,1,4,1,1,3
2193,4,1,4,4,3,1,1,1,2,1,4,1,2
2194,4,1,4,4,1,4,3,4,1,4,1,4,4
2195,4,1,4,4,1,4,1,1,1,3,1,4,3
2196,4,1,4,4,1,4,3,4,1,3,1,4,4
2197,4,1,4,4,1,4,1,1,1,3,1,4,3
2198,4,1,4,4,1,4,4,4,1,4,1,4,4
2199,4,1,4,4,1,4,1,1,4,1,1,4,2
2200,4,1,4,4,1,4,3,4,1,4,1,4,4
2201,4,1,4,4,1,4,1,1,4,1,1,4,2
